"","stations","lon","lat","address"
"1","0076 Cypress & 4th, Vancouver, British Columbia",-123.1478849,49.2682689,"vancouver, bc v6j 1m4, canada"
"2","0036 Bute & Robson, Vancouver, British Columbia",-123.1272503,49.2858347,"827-837 bute st, vancouver, bc v6e 3y4, canada"
"3","0019 Robson & Hornby, Vancouver, British Columbia",-123.122092,49.282758,"vancouver, bc v6z 2e7, canada"
"4","0002 Burrard Station, Vancouver, British Columbia",-123.1210501,49.285871,"vancouver, bc v6c 0a4, canada"
"5","0014 Canada Place, Vancouver, British Columbia",-123.11287,49.287214,"vancouver, bc v6c 3r9, canada"
"6","0080 Laurel & Broadway, Vancouver, British Columbia",-123.1241869,49.2632339,"2539 laurel st, vancouver, bc v5z 1l7, canada"
"7","0005 Dunsmuir & Beatty, Vancouver, British Columbia",-123.1102997,49.2797457,"dunsmuir sreet, vancouver, bc v6b, canada"
"8","0088 Harwood & Bute, Vancouver, British Columbia",-123.1352527,49.2802625,"1170-1100 harwood st, vancouver, bc v6e 1s1, canada"
"9","0115 Cypress & 16th, Vancouver, British Columbia",-123.148531,49.25741,"vancouver, bc v6j 2m5, canada"
"10","0057 Marinaside & Cooperage, Vancouver, British Columbia",-123.1143731,49.273833,"vancouver, bc v6z 0a4, canada"
"11","0196 Drake & Hornby, Vancouver, British Columbia",-123.1296251,49.277213,"vancouver, bc v6z 2p2, canada"
"12","0048 Comox & Broughton, Vancouver, British Columbia",-124.9282659,49.6735133,"comox, bc, canada"
"13","0033 Robson & Denman, Vancouver, British Columbia",-123.135327,49.2913758,"1806-1702 robson st, vancouver, bc v6g 2l8, canada"
"14","0138 Richards & Helmcken, Vancouver, British Columbia",-123.122589,49.277141,"vancouver, bc v6b 5h7, canada"
"15","0159 Vine & 4th, Vancouver, British Columbia",-123.157443,49.268339,"vancouver, bc v6k 1n9, canada"
"16","0246 Glen & Broadway, Vancouver, British Columbia",-123.081459,49.262242,"vancouver, bc v5t 2b4, canada"
"17","0110 5th & Arbutus, Vancouver, British Columbia",-123.1531126,49.2672652,"2192-2110 w 5th ave, vancouver, bc v6k 1s2, canada"
"18","0212 Union & Gore, Vancouver, British Columbia",-123.1000411,49.2785757,"219 union st, vancouver, bc v6a 4c3, canada"
"19","0055 Keefer & Columbia, Vancouver, British Columbia",-123.101822,49.279342,"vancouver, bc v6a 1x4, canada"
"20","0079 Nelson & Richards, Vancouver, British Columbia",-123.1209419,49.277844,"vancouver, bc v6b 3e1, canada"
"21","0058 Homer & Smithe, Vancouver, British Columbia",-123.118612,49.278283,"vancouver, bc v6b 1t7, canada"
"22","0060 Bidwell & Burnaby, Vancouver, British Columbia",-123.1418089,49.28526,"vancouver, bc v6g, canada"
"23","0078 Nelson & Mainland, Vancouver, British Columbia",-123.11877,49.2764359,"vancouver, bc v6b 6j8, canada"
"24","0001 10th & Cambie, Vancouver, British Columbia",-123.114397,49.262487,"vancouver, bc v5z 2v2, canada"
"25","0082 Richards & Davie, Vancouver, British Columbia",-123.1238889,49.276153,"vancouver, bc v6b 5b6, canada"
"26","0039 Helmcken & Burrard, Vancouver, British Columbia",-123.1274537,49.2799366,"downtown vancouver, bc v6z 1y7, canada"
"27","0083 Aquatic Centre, Vancouver, British Columbia",-123.1354222,49.2768417,"1050 beach ave, vancouver, bc v6e 1t7, canada"
"28","0198 6th & Main, Vancouver, British Columbia",-123.1002874,49.2655138,"206-224 e 6th ave, vancouver, bc v5t 1j7, canada"
"29","0087 Broughton & Burnaby, Vancouver, British Columbia",-123.137034,49.28329,"vancouver, bc v6g 2b4, canada"
"30","0068 Cypress & Broadway, Vancouver, British Columbia",-123.148097,49.263507,"vancouver, bc v6j 3n2, canada"
"31","0205 Pine & 10th, Vancouver, British Columbia",-123.14338,49.262822,"vancouver, bc v6j 2a2, canada"
"32","0134 14th & Main, Vancouver, British Columbia",-123.100792,49.258425,"vancouver, bc v5t 3g3, canada"
"33","0010 Stamp's Landing, Vancouver, British Columbia",-123.118186,49.268613,"vancouver, bc v5z 3z1, canada"
"34","0140 Burrard & 7th, Vancouver, British Columbia",-123.1410188,49.274182,"140 burrard st, vancouver, bc v6j, canada"
"35","0089 Burrard & Drake, Vancouver, British Columbia",-123.1305464,49.2780882,"downtown vancouver, bc v6z 1z4, canada"
"36","0136 David Lam Park - West, Vancouver, British Columbia",-123.126006,49.270905,"vancouver, bc v6z 0a6, canada"
"37","0265 St Catherines & 10th, Vancouver, British Columbia",-123.085333,49.261353,"vancouver, bc v5t 2b1, canada"
"38","0040 Cardero & Davie, Vancouver, British Columbia",-123.1376859,49.2858997,"1110 cardero st, vancouver, bc v6g 2h4, canada"
"39","0132 14th & Ontario, Vancouver, British Columbia",-123.104799,49.25849,"vancouver, bc v5t 2y6, canada"
"40","0092 Chilco & Barclay, Vancouver, British Columbia",-123.1406632,49.2919044,"962-932 chilco st, vancouver, bc v6g 1l5, canada"
"41","0017 Marinaside & Davie, Vancouver, British Columbia",-123.1187866,49.2734437,"marinaside crescent, vancouver, bc v6z, canada"
"42","0167 Cordova & Columbia, Vancouver, British Columbia",-89.761545,35.1598391,"cordova, memphis, tn, usa"
"43","0072 14th & Cambie, Vancouver, British Columbia",-123.115392,49.258763,"vancouver, bc v5z 2v7, canada"
"44","0197 1st & Main, Vancouver, British Columbia",-123.100123,49.27001,"vancouver, bc v6a 2p3, canada"
"45","0064 Expo & Smithe, Vancouver, British Columbia",-123.1144961,49.276115,"vancouver, bc v6z 3g8, canada"
"46","0009 Spyglass & Seawall, Vancouver, British Columbia",-123.1150447,49.270992,"fairview, vancouver, bc v5z 4k7, canada"
"47","0143 South False Creek Seawall, Vancouver, British Columbia",-123.127698,49.267628,"vancouver, bc v6h, canada"
"48","0032 Comox & Denman, Vancouver, British Columbia",-124.9282659,49.6735133,"comox, bc, canada"
"49","0093 Chilco & Robson, Vancouver, British Columbia",-123.1385344,49.2932756,"840-752 chilco st, vancouver, bc v6g 1e8, canada"
"50","0104 Stanley Park - Second Beach South, Vancouver, British Columbia",-123.1488081,49.2943179,"vancouver, bc v6g 3e2, canada"
"51","0109 7th & Arbutus, Vancouver, British Columbia",-123.152566,49.265605,"vancouver, bc v6j, canada"
"52","0035 Coal Harbour Community Centre, Vancouver, British Columbia",-123.1251081,49.2903377,"480 broughton st, vancouver, bc v6g 3h4, canada"
"53","0053 Keefer & Abbott, Vancouver, British Columbia",-123.1080201,49.279821,"vancouver, bc v6b 0j1, canada"
"54","0037 Hornby & Nelson, Vancouver, British Columbia",-123.12482,49.28062,"vancouver, bc v6z 1v3, canada"
"55","0174 1st & Ontario, Vancouver, British Columbia",-123.1063661,49.2702373,"88w w 1st ave, vancouver, bc v5y 3k8, canada"
"56","0601 Olympic Village Station, Vancouver, British Columbia",-123.1157361,49.2665315,"olympic village, cambie st bridge, vancouver, bc v5z, canada"
"57","0206 8th & Scotia, Vancouver, British Columbia",-123.0992155,49.2636457,"290-298 e 8th ave, vancouver, bc v5t 0b2, canada"
"58","0241 4th & Commercial, Vancouver, British Columbia",-123.0699359,49.266969,"vancouver, bc v5n 4a8, canada"
"59","0069 7th & Granville, Vancouver, British Columbia",-123.1383301,49.265385,"1498-1472 w 7th ave, vancouver, bc v6h 4h2, canada"
"60","0011 Ontario & Seawall, Vancouver, British Columbia",-85.323214,51.253775,"ontario, canada"
"61","0004 Yaletown-Roundhouse Station, Vancouver, British Columbia",-123.1218721,49.2745813,"yaletown-roundhouse, district of freedom#8573311~!#, davie st, vancouver, bc v6b 0h8, canada"
"62","0066 Anderson & 2nd, Vancouver, British Columbia",-123.1378551,49.2694505,"anderson st, vancouver, bc v6h, canada"
"63","0166 Alder & 11th, Vancouver, British Columbia",-123.1314801,49.261742,"vancouver, bc v6h 1k6, canada"
"64","0208 Arbutus Greenway & Broadway, Vancouver, British Columbia",-123.1552554,49.2356325,"arbutus greenway, vancouver, bc, canada"
"65","0081 7th & Heather, Vancouver, British Columbia",-123.119425,49.265089,"vancouver, bc v5z 3h6, canada"
"66","0204 York & Yew, Vancouver, British Columbia",-76.727745,39.9625984,"york, pa, usa"
"67","0248 St George & Broadway, Vancouver, British Columbia",-123.0930614,49.2624686,"mount pleasant, bc v5t 1x3, canada"
"68","0148 Creekside Park North, Vancouver, British Columbia",-123.102661,49.2756,"vancouver, bc v6z 2r6, canada"
"69","0084 Sunset Beach West, Vancouver, British Columbia",-123.139901,49.281405,"vancouver, bc v6e 1v3, canada"
"70","0218 Carrall & Seawall, Vancouver, British Columbia",-123.10651,49.2763069,"vancouver, bc v6z 2r6, canada"
"71","0235 Charles & Commercial, Vancouver, British Columbia",-123.069892,49.273103,"vancouver, bc v5l 2t4, canada"
"72","0024 Hornby & Pender, Vancouver, British Columbia",-123.116624,49.28602,"vancouver, bc v6c 3j1, canada"
"73","0112 10th & Oak, Vancouver, British Columbia",-123.1262171,49.262255,"vancouver, bc v6h 3z6, canada"
"74","0028 Davie & Beach, Vancouver, British Columbia",-123.142139,49.287528,"vancouver, bc v6g, canada"
"75","0130 Heather & 16th, Vancouver, British Columbia",-123.1201446,49.2566856,"south cambie, vancouver, bc v5z 3k4, canada"
"76","0041 Cardero & Robson, Vancouver, British Columbia",-123.132184,49.289581,"vancouver, bc v6g 2g4, canada"
"77","0030 Abbott & Cordova, Vancouver, British Columbia",-123.1069551,49.282759,"vancouver, bc v6b 0g6, canada"
"78","0211 14th & Alder, Vancouver, British Columbia",-123.1313169,49.258819,"vancouver, bc v6h 4c3, canada"
"79","0027 Beatty & Nelson, Vancouver, British Columbia",-123.116963,49.2756789,"vancouver, bc v6z 3c5, canada"
"80","0237 Glen & 6th, Vancouver, British Columbia",-123.08127,49.2650239,"vancouver, bc v5t, canada"
"81","0153 Arbutus Greenway & Fir, Vancouver, British Columbia",-123.1552554,49.2356325,"arbutus greenway, vancouver, bc, canada"
"82","0108 1st & Chestnut, Vancouver, British Columbia",-123.1461751,49.270721,"vancouver, bc v6j, canada"
"83","0239 Grant & Commercial, Vancouver, British Columbia",-123.069416,49.271377,"vancouver, bc v5l 3x9, canada"
"84","0244 10th & Commercial, Vancouver, British Columbia",-123.0700734,49.261399,"1670-1676 e 10th ave, vancouver, bc v5n 1x5, canada"
"85","0026 Beatty & Robson, Vancouver, British Columbia",-123.114279,49.2774829,"vancouver, bc v6b 2a6, canada"
"86","0231 Napier & Commercial, Vancouver, British Columbia",176.9120178,-39.4928444,"napier, new zealand"
"87","0133 Ontario & 16th, Vancouver, British Columbia",-85.323214,51.253775,"ontario, canada"
"88","0025 Homer & Robson, Vancouver, British Columbia",-123.116251,49.279739,"vancouver, bc v6b 6b3, canada"
"89","0152 Arbutus Greenway & 14th, Vancouver, British Columbia",-123.1552554,49.2356325,"arbutus greenway, vancouver, bc, canada"
"90","0070 10th & Granville, Vancouver, British Columbia",-123.138921,49.2625979,"vancouver, bc v6h 3h3, canada"
"91","0236 Keith & 6th, Vancouver, British Columbia",-123.079481,49.265005,"vancouver, bc v5t, canada"
"92","0096 Nicola & Robson, Vancouver, British Columbia",-123.132006,49.288011,"vancouver, bc v6g 2c3, canada"
"93","0007 12th & Yukon, Vancouver, British Columbia",-123.113504,49.260599,"vancouver, bc v5y 1v4, canada"
"94","0105 Stanley Park - Totem Poles, Vancouver, British Columbia",-123.1208492,49.2992464,"vancouver, bc v6g 3e2, canada"
"95","0073 Ontario & 5th, Vancouver, British Columbia",-117.6508876,34.0633443,"ontario, ca, usa"
"96","0008 8th & Ash, Vancouver, British Columbia",-123.117772,49.264215,"vancouver, bc v5z 3c3, canada"
"97","0201 Shaw Tower, Vancouver, British Columbia",-123.11818,49.288682,"vancouver, bc v6c 2g8, canada"
"98","0260 10th & Fraser, Vancouver, British Columbia",-73.9523522,40.7172582,"260 n 10th st, brooklyn, ny 11211, usa"
"99","0137 Beach & Seymour, Vancouver, British Columbia",-123.1299678,49.2735724,"604-582 beach crescent, vancouver, bc v6z 3g3, canada"
"100","0125 Hamilton & Robson, Vancouver, British Columbia",-123.115056,49.279611,"vancouver, bc v6b 6b3, canada"
"101","0063 Robson & Granville, Vancouver, British Columbia",-123.120101,49.281506,"vancouver, bc v6z 1a1, canada"
"102","0129 Richards & Robson, Vancouver, British Columbia",-123.1176329,49.2803449,"vancouver, bc v6b 1a6, canada"
"103","0065 Cypress & Cornwall, Vancouver, British Columbia",-123.1477439,49.272827,"vancouver, bc v6j 1c6, canada"
"104","0101 Stanley Park - Vancouver Aquarium, Vancouver, British Columbia",-123.1309293,49.3007961,"845 avison way, vancouver, bc v6g 3e2, canada"
"105","0254 Grandview Bike Lane & Commercial, Vancouver, British Columbia",-123.0708664,49.2641745,"340 n grandview hwy, vancouver, bc v5n 1n3, canada"
"106","0209 Stanley Park - Information Booth, Vancouver, British Columbia",-123.1314756,49.2978293,"715 stanley park dr, vancouver, bc v6g 3e2, canada"
"107","0102 Stanley Park - Second Beach North, Vancouver, British Columbia",-123.150433,49.29534,"vancouver, bc v6g 3e2, canada"
"108","0223 Commercial & Adanac, Vancouver, British Columbia",-123.070427,49.277436,"vancouver, bc v5l 2h3, canada"
"109","0047 Chilco & Beach, Vancouver, British Columbia",-123.144028,49.28972,"vancouver, bc v6g 1z3, canada"
"110","0012 Dunsmuir & Richards, Vancouver, British Columbia",-122.2719529,41.2082089,"dunsmuir, ca, usa"
"111","0171 5th & Yukon, Vancouver, British Columbia",-123.1124141,49.26667,"vancouver, bc v5y 4b1, canada"
"112","0242 8th & Commercial, Vancouver, British Columbia",-123.070521,49.263242,"vancouver, bc v5n 1t6, canada"
"113","0155 Arbutus & McNicoll, Vancouver, British Columbia",-123.151272,49.276144,"vancouver, bc v6j 5n2, canada"
"114","0240 2nd & Commercial, Vancouver, British Columbia",-123.0699079,49.268616,"vancouver, bc v5n 4a6, canada"
"115","0150 Alexander & Main, Vancouver, British Columbia",-123.0999169,49.284157,"vancouver, bc v6a 1b8, canada"
"116","0139 Burrard & 4th, Vancouver, British Columbia",-123.1410188,49.274182,"139 burrard st, vancouver, bc v6j, canada"
"117","0147 Chestnut & McNicoll, Vancouver, British Columbia",-123.145939,49.2759379,"vancouver, bc v6j 3j9, canada"
"118","0052 Cambie & Water, Vancouver, British Columbia",-123.1086683,49.2846112,"198-100 cambie st, vancouver, bc v6b 1b8, canada"
"119","0107 8th & Ontario, Vancouver, British Columbia",-123.105173,49.263837,"vancouver, bc v5y 1m8, canada"
"120","0015 Granville & Georgia, Vancouver, British Columbia",-123.118541,49.282409,"vancouver, bc v7y 1k8, canada"
"121","0016 Pender & Burrard, Vancouver, British Columbia",-123.1185882,49.2871241,"downtown vancouver, vancouver, bc v6e 3x1, canada"
"122","0154 Kitsilano Beach Park, Vancouver, British Columbia",-123.1545805,49.2739771,"kitsilano beach park, 1499 arbutus st, vancouver, bc v6j 5n2, canada"
"123","0602 Olympic Village Station - Parking Lot, Vancouver, British Columbia",-123.1155131,49.26669,"fairview, vancouver, bc v5z, canada"
"124","0165 Columbia & 4th, Vancouver, British Columbia",-123.10937,49.26712,"vancouver, bc v5y 3e1, canada"
"125","0222 Adanac & McLean, Vancouver, British Columbia",-123.0737518,49.2776238,"east vancouver, vancouver, bc v5l 3r2, canada"
"126","0031 Morton & Denman, Vancouver, British Columbia",-123.142135,49.28803,"vancouver, bc v6g, canada"
"127","0113 Arbutus & 16th, Vancouver, British Columbia",-123.153212,49.257654,"vancouver, bc v6j 3z3, canada"
"128","0077 Vanier Park, Vancouver, British Columbia",-123.1435496,49.277288,"vanier park, 1000 chestnut st, vancouver, bc v6j 3j9, canada"
"129","0123 Georgia & Thurlow, Vancouver, British Columbia",-82.9000751,32.1656221,"georgia, usa"
"130","0119 3rd & Quebec, Vancouver, British Columbia",-123.102539,49.268298,"vancouver, bc v5t 1c7, canada"
"131","0203 Pine & 14th, Vancouver, British Columbia",-122.3999346,37.7920684,"203 pine st, san francisco, ca 94104, usa"
"132","0996 Balancer Bike Check In, Vancouver, British Columbia",-123.1012124,49.2632168,"2429 main st, vancouver, bc v5t 3e1, canada"
"133","0245 Woodland & 10th, Vancouver, British Columbia",-123.0737207,49.2612739,"east vancouver, vancouver, bc v5n 1x3, canada"
"134","0099 Vancouver Art Gallery - North Plaza, Vancouver, British Columbia",-123.1204715,49.2829607,"750 hornby st, vancouver, bc v6z 2h7, canada"
"135","0172 10th & Columbia, Vancouver, British Columbia",-123.1090909,49.262206,"vancouver, bc v5y 3e9, canada"
"136","0190 Melville & Bute, Vancouver, British Columbia",-73.4151214,40.7934322,"melville, ny, usa"
"137","0098 Carrall & Hastings, Vancouver, British Columbia",-123.104419,49.28117,"vancouver, bc v6b 6e3, canada"
"138","0234 Station & National, Vancouver, British Columbia",-123.098481,49.274249,"vancouver, bc v6a 4c7, canada"
"139","0161 Alexander & Dunlevy, Vancouver, British Columbia",-123.095097,49.284062,"vancouver, bc v6a 4g6, canada"
"140","0221 Glen & Union, Vancouver, British Columbia",-123.081315,49.277469,"vancouver, bc v6a 2c7, canada"
"141","0229 Keefer & Princess, Vancouver, British Columbia",-123.091241,49.279369,"vancouver, bc v6a 3v8, canada"
"142","0261 8th & Fraser, Vancouver, British Columbia",-123.0888371,49.263382,"vancouver, bc v5t 1x8, canada"
"143","0114 Cypress & 14th, Vancouver, British Columbia",-123.148268,49.2591899,"vancouver, bc v6j 2j8, canada"
"144","0232 Britannia Parking Lot, Vancouver, British Columbia",-123.071865,49.275882,"vancouver, bc v5l 2g9, canada"
"145","0006 Olympic Village Station, Vancouver, British Columbia",-123.1157361,49.2665315,"olympic village, cambie st bridge, vancouver, bc v5z, canada"
"146","0199 Georgia & Main, Vancouver, British Columbia",-82.9000751,32.1656221,"georgia, usa"
"147","0173 1st & Columbia, Vancouver, British Columbia",-123.109189,49.270218,"vancouver, bc v5y 4a1, canada"
"148","0238 Thornton & 1st, Vancouver, British Columbia",-123.094616,49.267553,"vancouver, bc v5t 1a7, canada"
"149","0021 Cordova & Granville, Vancouver, British Columbia",-89.761545,35.1598391,"cordova, memphis, tn, usa"
"150","0074 10th & Main, Vancouver, British Columbia",-123.101961,49.262141,"vancouver, bc v5t 1z2, canada"
"151","0283 15th & Knight, Vancouver, British Columbia",-123.075426,49.256496,"vancouver, bc v5n 3k6, canada"
"152","0266 St Catherines & 7th, Vancouver, British Columbia",-123.085183,49.264466,"vancouver, bc v5t 1e5, canada"
"153","0258 13th & St George, Vancouver, British Columbia",-123.092797,49.258817,"vancouver, bc v5t 4l9, canada"
"154","0227 Campbell & Hastings, Vancouver, British Columbia",-123.084746,49.280852,"vancouver, bc v6a 3t1, canada"
"155","0262 8th & Prince Edward, Vancouver, British Columbia",-123.09568,49.263518,"vancouver, bc v5t, canada"
"156","0202 14th & Oak, Vancouver, British Columbia",-123.1270709,49.258761,"vancouver, bc v6h 1p4, canada"
"157","0213 Pender & Gore, Vancouver, British Columbia",-123.0970521,49.280284,"vancouver, bc v6a 1t9, canada"
"158","0044 Pacific & Richards, Vancouver, British Columbia",-123.127075,49.273663,"vancouver, bc v6z 2p6, canada"
"159","0207 Alberni & Jervis, Vancouver, British Columbia",-123.127245,49.28763,"vancouver, bc v6e 4r4, canada"
"160","0255 18th & Main, Vancouver, British Columbia",-123.101389,49.254667,"vancouver, bc v5v 0b7, canada"
"161","0253 Charles & Woodland, Vancouver, British Columbia",-123.0732,49.2731,"vancouver, bc v5l 2t2, canada"
"162","0287 Carolina & Great Northern Way, Vancouver, British Columbia",-79.0192997,35.7595731,"north carolina, usa"
"163","0250 Woodland & 4th, Vancouver, British Columbia",-123.073501,49.266751,"vancouver, bc v5n 1j8, canada"
"164","0272 Pender & Victoria, Vancouver, British Columbia",-123.0658591,49.280197,"vancouver, bc v5l 1w7, canada"
"165","0224 Pender & Commercial, Vancouver, British Columbia",-123.070068,49.280332,"vancouver, bc v5l 1w5, canada"
"166","0273 Victoria & 4th, Vancouver, British Columbia",-123.065925,49.266725,"vancouver, bc v5n 5y4, canada"
"167","0126 Thurlow & Pendrell, Vancouver, British Columbia",-123.130672,49.280881,"vancouver, bc v6e 1x2, canada"
"168","0285 Commercial & Pandora, Vancouver, British Columbia",-123.070443,49.283236,"vancouver, bc v5l 0a3, canada"
"169","0252 Woodland & Graveley, Vancouver, British Columbia",-123.073562,49.270684,"vancouver, bc v5l 3s8, canada"
"170","0298 6th & Carolina, Vancouver, British Columbia",-123.0907849,49.265213,"vancouver, bc v5t 1l3, canada"
"171","0257 Prince Edward & 14th, Vancouver, British Columbia",-123.096337,49.258352,"vancouver, bc v5t 3n3, canada"
"172","0225 McLean & Pender, Vancouver, British Columbia",-123.074174,49.280205,"vancouver, bc v5l 1v8, canada"
"173","0256 Prince Edward & 16th, Vancouver, British Columbia",-123.096579,49.256694,"vancouver, bc v5t 4w5, canada"
"174","0193 Science World, Vancouver, British Columbia",-123.103834,49.273376,"1455 quebec st, vancouver, bc v6a 3z7, canada"
"175","0034 Cordova & Bute, Vancouver, British Columbia",-123.12196,49.289124,"vancouver, bc v6e 3t5, canada"
"176","0297 6th & Prince Edward, Vancouver, British Columbia",-123.095577,49.265242,"vancouver, bc v5t 4m6, canada"
"177","0278 15th & Victoria, Vancouver, British Columbia",-123.065646,49.2568569,"vancouver, bc v5n 4m1, canada"
"178","0233 Thornton & National, Vancouver, British Columbia",-123.092723,49.273777,"vancouver, bc v6a 3x2, canada"
"179","0249 7th & Woodland, Vancouver, British Columbia",-123.0738529,49.264251,"vancouver, bc v5n 1r9, canada"
"180",", Vancouver, British Columbia",-123.1207375,49.2827291,"vancouver, bc, canada"
